Date,Open,High,Low,Close,Adj Close,Volume
2019-03-05,146.070007,150.509995,146.070007,150.509995,150.509995,30
2019-03-06,151.389999,152.460007,151.320007,152.000000,152.000000,0
2019-03-07,151.100006,152.960007,150.669998,151.050003,151.050003,131
2019-03-08,149.410004,149.770004,148.940002,148.970001,148.970001,0
2019-03-11,150.990005,154.619995,150.990005,153.309998,153.309998,81
2019-03-12,153.029999,153.179993,152.149994,152.149994,152.149994,28
2019-03-13,151.589996,153.460007,151.589996,153.460007,153.460007,60
2019-03-14,150.729996,151.070007,149.839996,151.070007,151.070007,5
2019-03-15,147.470001,148.330002,145.580002,146.470001,146.470001,120
2019-03-18,145.679993,146.309998,141.100006,141.100006,141.100006,15
2019-03-19,141.220001,144.139999,141.220001,143.479996,143.479996,17
2019-03-20,142.009995,143.910004,142.009995,143.630005,143.630005,0
2019-03-21,144.320007,145.429993,144.250000,145.059998,145.059998,30
2019-03-22,145.800003,147.619995,145.800003,145.899994,145.899994,508
2019-03-25,143.820007,145.389999,143.639999,145.110001,145.110001,85
2019-03-26,146.910004,149.279999,146.910004,148.500000,148.500000,0
2019-03-27,148.429993,149.220001,146.809998,146.919998,146.919998,0
2019-03-28,146.270004,147.750000,146.270004,147.559998,147.559998,0
2019-03-29,147.410004,148.149994,147.009995,147.800003,147.800003,270
2019-04-01,148.839996,150.389999,148.839996,149.789993,149.789993,47
2019-04-02,149.809998,154.899994,149.809998,154.899994,154.899994,10
2019-04-03,154.759995,157.449997,154.759995,157.449997,157.449997,40
2019-04-04,152.940002,158.080002,152.940002,157.539993,157.539993,0
2019-04-05,156.210007,157.630005,156.119995,156.490005,156.490005,0
2019-04-08,155.710007,156.100006,154.820007,154.820007,154.820007,0
2019-04-09,154.600006,158.419998,154.600006,158.279999,158.279999,31
2019-04-10,156.779999,158.660004,156.779999,156.899994,156.899994,0
2019-04-11,157.660004,158.300003,156.919998,157.520004,157.520004,0
2019-04-12,156.779999,158.559998,156.740005,158.199997,158.199997,135
2019-04-15,157.899994,158.139999,156.940002,157.720001,157.720001,41
2019-04-16,158.820007,159.600006,156.399994,159.020004,159.020004,0
2019-04-17,157.559998,159.300003,157.559998,158.059998,158.059998,5
2019-04-18,157.500000,158.639999,157.500000,158.259995,158.259995,0
2019-04-23,160.800003,163.500000,160.699997,163.500000,163.500000,55
2019-04-24,163.360001,165.000000,163.360001,163.699997,163.699997,186
2019-04-25,175.199997,178.440002,173.899994,173.979996,173.979996,184
2019-04-26,172.500000,173.419998,171.279999,171.779999,171.779999,35
2019-04-29,170.699997,174.000000,170.699997,174.000000,174.000000,4
2019-04-30,173.500000,173.960007,173.059998,173.960007,173.960007,0
2019-05-02,171.699997,172.899994,170.520004,170.520004,170.520004,37
2019-05-03,172.059998,174.679993,172.059998,174.520004,174.520004,0
2019-05-06,170.899994,172.800003,169.479996,171.580002,171.580002,14
2019-05-07,171.139999,172.860001,170.080002,170.639999,170.639999,36
2019-05-08,169.380005,170.399994,168.619995,169.699997,169.699997,0
2019-05-09,167.919998,168.179993,167.000000,167.639999,167.639999,0
2019-05-10,167.960007,168.119995,165.380005,166.020004,166.020004,59
2019-05-13,164.720001,165.000000,162.600006,162.619995,162.619995,37
2019-05-14,162.619995,163.279999,161.460007,161.979996,161.979996,50
2019-05-15,161.440002,165.460007,160.580002,165.460007,165.460007,0
2019-05-16,165.639999,168.199997,165.520004,168.199997,168.199997,8
2019-05-17,167.539993,167.679993,165.039993,166.820007,166.820007,45
2019-05-20,166.179993,166.240005,163.380005,163.720001,163.720001,0
2019-05-21,164.539993,165.960007,164.539993,165.960007,165.960007,19
2019-05-22,165.220001,167.020004,164.000000,165.839996,165.839996,30
2019-05-23,164.539993,164.660004,161.880005,161.880005,161.880005,1
2019-05-24,162.020004,162.899994,162.020004,162.460007,162.460007,110
2019-05-27,160.380005,162.339996,160.380005,161.860001,161.860001,14
2019-05-28,162.059998,164.899994,161.360001,164.899994,164.899994,0
2019-05-29,164.619995,164.619995,163.479996,163.520004,163.520004,0
2019-05-30,163.259995,164.399994,163.259995,164.139999,164.139999,0
2019-05-31,162.039993,162.039993,159.179993,160.500000,160.500000,2
2019-06-03,157.000000,157.619995,156.860001,157.619995,157.619995,0
2019-06-04,145.759995,147.000000,144.679993,147.000000,147.000000,160
2019-06-05,148.899994,149.880005,146.500000,148.479996,148.479996,0
2019-06-06,148.979996,150.320007,148.979996,150.119995,150.119995,0
2019-06-07,149.119995,149.919998,149.119995,149.919998,149.919998,25
2019-06-11,154.199997,159.000000,154.199997,159.000000,159.000000,10
2019-06-12,157.000000,157.000000,154.500000,154.500000,154.500000,50
2019-06-13,154.440002,156.000000,154.440002,156.000000,156.000000,2
2019-06-14,157.139999,157.139999,157.139999,157.139999,157.139999,0
2019-06-17,163.100006,163.759995,163.100006,163.759995,163.759995,39
2019-06-18,170.000000,173.139999,170.000000,171.979996,171.979996,183
2019-06-19,168.000000,169.000000,167.800003,167.800003,167.800003,115
2019-06-20,167.259995,167.860001,167.259995,167.360001,167.360001,14
2019-06-21,166.699997,168.460007,166.699997,168.460007,168.460007,4
2019-06-24,169.000000,169.000000,169.000000,169.000000,169.000000,0
2019-06-25,168.580002,168.580002,166.500000,166.500000,166.500000,1
2019-06-26,165.520004,167.880005,165.520004,167.880005,167.880005,64
2019-06-27,165.059998,165.059998,165.059998,165.059998,165.059998,0
2019-06-28,167.460007,167.460007,167.460007,167.460007,167.460007,7
2019-07-01,172.279999,172.279999,171.500000,171.500000,171.500000,28
2019-07-02,171.520004,171.899994,170.479996,171.899994,171.899994,313
2019-07-03,171.899994,171.899994,171.899994,171.899994,171.899994,0
2019-07-04,171.899994,174.580002,171.899994,174.580002,174.580002,5
2019-07-05,174.360001,174.660004,174.360001,174.660004,174.660004,15
2019-07-08,173.820007,174.500000,173.820007,174.500000,174.500000,6
2019-07-09,173.160004,177.300003,173.160004,177.300003,177.300003,255
2019-07-10,177.300003,177.300003,177.300003,177.300003,177.300003,0
2019-07-11,177.300003,177.300003,177.300003,177.300003,177.300003,0
2019-07-12,178.339996,178.339996,178.000000,178.000000,178.000000,20
2019-07-15,181.339996,181.339996,180.000000,180.000000,180.000000,31
2019-07-16,180.600006,181.740005,180.600006,181.740005,181.740005,1
2019-07-17,181.240005,181.940002,181.240005,181.940002,181.940002,2
2019-07-18,181.940002,181.940002,177.699997,177.699997,177.699997,48
2019-07-19,178.860001,179.899994,178.860001,179.899994,179.899994,20
2019-07-22,176.440002,176.440002,176.440002,176.440002,176.440002,0
2019-07-23,180.399994,181.539993,180.399994,181.539993,181.539993,120
2019-07-24,179.500000,179.500000,179.500000,179.500000,179.500000,3
2019-07-25,184.500000,184.500000,184.500000,184.500000,184.500000,0
2019-07-26,179.779999,180.660004,179.779999,180.660004,180.660004,70
2019-07-29,178.500000,178.500000,176.360001,176.360001,176.360001,69
2019-07-30,176.600006,176.600006,174.619995,174.619995,174.619995,16
2019-07-31,176.520004,176.520004,176.520004,176.520004,176.520004,0
2019-08-01,175.059998,177.039993,175.059998,177.039993,177.039993,12
2019-08-02,172.520004,172.860001,170.559998,170.559998,170.559998,99
2019-08-05,167.100006,167.100006,163.960007,163.960007,163.960007,85
2019-08-06,160.000000,164.559998,160.000000,164.559998,164.559998,61
2019-08-07,163.220001,163.220001,161.860001,161.860001,161.860001,19
2019-08-08,165.300003,168.240005,165.300003,168.240005,168.240005,6
2019-08-09,168.460007,168.460007,168.460007,168.460007,168.460007,0
2019-08-12,167.399994,167.399994,167.399994,167.399994,167.399994,0
2019-08-13,165.320007,170.020004,165.320007,170.020004,170.020004,13
2019-08-14,167.539993,168.500000,164.199997,164.199997,164.199997,608
2019-08-15,160.720001,161.500000,160.720001,161.500000,161.500000,30
2019-08-16,165.320007,167.020004,165.320007,167.020004,167.020004,2
2019-08-19,166.320007,166.320007,166.320007,166.320007,166.320007,0
2019-08-20,167.500000,167.500000,166.500000,166.500000,166.500000,5
2019-08-21,165.440002,165.440002,165.440002,165.440002,165.440002,0
2019-08-22,165.500000,165.500000,165.500000,165.500000,165.500000,0
2019-08-23,164.580002,164.580002,164.580002,164.580002,164.580002,0
2019-08-26,158.699997,158.699997,158.699997,158.699997,158.699997,4
2019-08-27,161.759995,161.759995,161.759995,161.759995,161.759995,0
2019-08-28,164.000000,164.000000,163.960007,164.000000,164.000000,120
2019-08-29,163.399994,163.399994,163.399994,163.399994,163.399994,0
2019-08-30,167.699997,169.240005,167.699997,169.240005,169.240005,30
